location,rest_type,cuisines
Majestic,Quick Bites,South Indian
Church Street,Casual Dining,"Pizza, Fast Food"
Brookefield,Food Court,"Andhra, North Indian, Chinese, Biryani"
BTM,Beverage Shop,"Beverages, Juices"
Church Street,"Casual Dining, Bar","Bengali, Seafood"
Whitefield,"Takeaway, Delivery","North Indian, Mughlai, Fast Food"
Bannerghatta Road,Delivery,Pizza
Yeshwantpur,Quick Bites,"North Indian, Chinese"
Bellandur,"Bar, Casual Dining","North Indian, Chinese, Continental, Mexican"
Brigade Road,"Quick Bites, Bakery","Fast Food, Bakery"
Basavanagudi,Quick Bites,"Fast Food, Rolls"
Sahakara Nagar,Dessert Parlor,"Ice Cream, Desserts"
JP Nagar,Cafe,Cafe
Bellandur,Casual Dining,"Lebanese, Turkish, BBQ, Burger"
Marathahalli,"Quick Bites, Dessert Parlor","Continental, Italian, Chinese, North Indian, Momos"
Whitefield,"Casual Dining, Cafe","Cafe, Italian, Pizza, North Indian"
MG Road,Casual Dining,"Steak, Italian, Continental, American, Burger, BBQ, Salad"
Whitefield,Quick Bites,Fast Food
New BEL Road,"Pub, Cafe","North Indian, Continental, Cafe"
BTM,Quick Bites,"Biryani, Fast Food"
Malleshwaram,Cafe,"Cafe, Italian"
MG Road,Cafe,Cafe
Kammanahalli,Quick Bites,"Juices, Fast Food"
Indiranagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food"
Kammanahalli,Casual Dining,"Chettinad, Mangalorean, South Indian, North Indian"
RT Nagar,Beverage Shop,"Beverages, Ice Cream"
Marathahalli,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese"
Bannerghatta Road,Pub,"North Indian, Italian"
Vijay Nagar,"Quick Bites, Beverage Shop","Fast Food, Street Food, Beverages, Chinese"
BTM,Casual Dining,"Andhra, Chinese, North Indian"
Banashankari,Quick Bites,"North Indian, Biryani, Fast Food"
BTM,"Beverage Shop, Quick Bites","Tea, Fast Food"
Banashankari,Quick Bites,Fast Food
Bellandur,Quick Bites,North Indian
Sadashiv Nagar,Quick Bites,South Indian
BTM,Quick Bites,Biryani
Koramangala 7th Block,Casual Dining,Assamese
Koramangala 5th Block,Mess,North Indian
Jayanagar,Cafe,"Cafe, Beverages"
JP Nagar,Casual Dining,North Indian
Frazer Town,Quick Bites,"Biryani, South Indian"
Rajajinagar,Quick Bites,"Biryani, Chinese"
Koramangala 1st Block,Quick Bites,Fast Food
Banashankari,Delivery,Pizza
BTM,"Quick Bites, Dessert Parlor","Fast Food, Desserts, Ice Cream"
Electronic City,Casual Dining,"South Indian, North Indian"
Banashankari,Quick Bites,"Mangalorean, Seafood"
Old Airport Road,Beverage Shop,Juices
Sahakara Nagar,"Casual Dining, Bar","North Indian, Continental, Chinese, Seafood"
Church Street,Cafe,"Cafe, Continental, American, Desserts"
Koramangala 4th Block,Casual Dining,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos"
Koramangala 6th Block,Delivery,"Thai, Chinese"
Basavanagudi,Quick Bites,"Pizza, Beverages, Ice Cream"
Malleshwaram,Food Court,Desserts
Indiranagar,Delivery,Biryani
Whitefield,Lounge,Finger Food
Koramangala 1st Block,Quick Bites,"Salad, Healthy Food, Street Food"
BTM,Delivery,"North Indian, Chinese"
BTM,Dessert Parlor,"Ice Cream, Beverages"
Jayanagar,"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza"
Bannerghatta Road,"Takeaway, Delivery",Pizza
Koramangala 4th Block,"Takeaway, Delivery",North Indian
Whitefield,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab"
Bellandur,Cafe,Cafe
Indiranagar,Quick Bites,"South Indian, Fast Food"
