location,rest_type,cuisines
BTM,Quick Bites,"Biryani, Kebab"
Electronic City,Bakery,"Bakery, Desserts"
Koramangala 6th Block,"Takeaway, Delivery",Healthy Food
JP Nagar,Quick Bites,"Fast Food, North Indian, Chinese, South Indian"
BTM,Casual Dining,"Andhra, North Indian, Biryani"
Residency Road,Quick Bites,"Biryani, Kebab, Rolls"
Bellandur,Delivery,Andhra
Koramangala 4th Block,Casual Dining,"Continental, Italian, Chinese"
Basaveshwara Nagar,Quick Bites,"Biryani, South Indian"
JP Nagar,Casual Dining,"South Indian, Chinese"
Banaswadi,"Takeaway, Delivery",South Indian
New BEL Road,Cafe,"Cafe, Beverages"
Brookefield,"Beverage Shop, Quick Bites","Beverages, Fast Food"
BTM,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices"
Koramangala 5th Block,Quick Bites,"Juices, Beverages, Fast Food"
Koramangala 6th Block,"Takeaway, Delivery","Desserts, Bakery"
BTM,Delivery,Bakery
Sarjapur Road,Quick Bites,"Fast Food, Street Food"
Residency Road,"Casual Dining, Cafe","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza"
Koramangala 6th Block,Lounge,Finger Food
Shanti Nagar,Beverage Shop,"Beverages, Fast Food"
Jayanagar,Casual Dining,North Indian
Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza"
Whitefield,Delivery,Biryani
Shanti Nagar,Cafe,"Cafe, Italian"
Domlur,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts, Street Food"
Kaggadasapura,Casual Dining,"Bengali, North Indian, Chinese, Rolls"
Electronic City,Fine Dining,"North Indian, South Indian, Asian, Italian, Continental"
Koramangala 5th Block,Beverage Shop,Beverages
St. Marks Road,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad"
Banaswadi,Quick Bites,"Pizza, Italian"
Nagawara,Casual Dining,"Mughlai, Biryani, North Indian"
Residency Road,Quick Bites,"Street Food, Juices"
Koramangala 5th Block,Quick Bites,"Bengali, North Indian"
Marathahalli,Delivery,"North Indian, South Indian, Chinese, Continental"
Whitefield,Quick Bites,"Chinese, North Indian"
Banashankari,Casual Dining,"North Indian, Chinese"
Sarjapur Road,Dessert Parlor,"Desserts, Ice Cream"
Sadashiv Nagar,Club,Finger Food
Brigade Road,Quick Bites,"South Indian, Biryani"
Bellandur,Food Court,"South Indian, Biryani"
BTM,"Takeaway, Delivery","Sandwich, Juices, Burger"
Koramangala 1st Block,Delivery,North Indian
Koramangala 6th Block,Cafe,"Cafe, Burger, Fast Food, Desserts"
Indiranagar,Casual Dining,"American, Continental, Fast Food, Steak"
Whitefield,Casual Dining,"North Indian, Continental, Chinese"
Rajajinagar,Quick Bites,South Indian
Kumaraswamy Layout,Cafe,"Cafe, Fast Food, Chinese"
BTM,Cafe,"Cafe, Continental, Fast Food"
Jayanagar,"Quick Bites, Cafe","Street Food, Cafe"
Indiranagar,Casual Dining,"Chinese, Vietnamese, Momos, Thai"
Bannerghatta Road,Quick Bites,"South Indian, North Indian"
JP Nagar,Quick Bites,"Biryani, South Indian, Kebab"
JP Nagar,Quick Bites,"North Indian, Mangalorean, Chinese"
JP Nagar,Casual Dining,"Chinese, North Indian, Mughlai"
Banaswadi,Quick Bites,"South Indian, BBQ"
Malleshwaram,Dessert Parlor,"Ice Cream, Bakery, Desserts"
Kalyan Nagar,Quick Bites,"North Indian, Chinese"
Basaveshwara Nagar,"Takeaway, Delivery",North Indian
HSR,Bakery,"Bakery, Desserts"
Whitefield,Casual Dining,"Continental, North Indian, Chinese, Arabian"
Residency Road,Quick Bites,"Street Food, Juices"
BTM,Quick Bites,Biryani
Koramangala 5th Block,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts"
BTM,Quick Bites,"Chinese, Fast Food"
JP Nagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
New BEL Road,Quick Bites,"Burger, Fast Food, Beverages"
Jayanagar,Cafe,"Cafe, Beverages, Fast Food"
Banaswadi,Quick Bites,"Chinese, North Indian, Biryani"
BTM,Quick Bites,"South Indian, Chinese, North Indian"
Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood"
BTM,Casual Dining,"North Indian, Chinese, South Indian"
BTM,Cafe,"Cafe, Continental, Pizza, Italian, Beverages"
Rammurthy Nagar,Quick Bites,Continental
Domlur,Casual Dining,"Andhra, Biryani"
Whitefield,Cafe,Cafe
Indiranagar,Dessert Parlor,Desserts
Bannerghatta Road,Quick Bites,"South Indian, Kerala, Biryani"
Koramangala 3rd Block,Fine Dining,"European, Asian"
Bannerghatta Road,Cafe,Cafe
BTM,"Takeaway, Delivery",Chinese
Koramangala 4th Block,Bar,"South Indian, North Indian"
Old Airport Road,Quick Bites,"North Indian, Chinese"
Seshadripuram,Casual Dining,"Chinese, North Indian, Continental"
HSR,"Takeaway, Delivery","Continental, North Indian"
Commercial Street,Quick Bites,"Burger, Fast Food"
Bannerghatta Road,Food Court,"Cafe, Fast Food, Desserts, Beverages"
Bannerghatta Road,Casual Dining,"North Indian, Chinese"
Indiranagar,Casual Dining,North Indian
Frazer Town,Quick Bites,Fast Food
Richmond Road,Casual Dining,"Biryani, North Indian, Chinese"
Bellandur,Cafe,Cafe
Malleshwaram,Quick Bites,"Fast Food, Biryani, Rolls"
Koramangala 5th Block,Pub,"Finger Food, Continental, Asian, North Indian"
HSR,Quick Bites,"Street Food, Chinese, Fast Food"
JP Nagar,Quick Bites,Kerala
Residency Road,"Microbrewery, Casual Dining",Modern Indian
East Bangalore,Delivery,"Continental, Asian, Healthy Food, Burger, Biryani, Pizza, Italian, Fast Food"
Sarjapur Road,Quick Bites,"Ice Cream, Fast Food, Burger, Pizza, Sandwich, Desserts, Beverages"
HBR Layout,Casual Dining,"North Indian, Mughlai, Biryani, Rolls"
Malleshwaram,Quick Bites,"South Indian, North Indian"
Domlur,Bar,"European, Asian"
Lavelle Road,Fine Dining,Italian
Thippasandra,Quick Bites,Fast Food
HSR,Casual Dining,"Steak, Continental, Burger, BBQ"
Residency Road,Bar,"North Indian, Chinese, Fast Food"
JP Nagar,Cafe,"Cafe, American, Continental, Italian"
Electronic City,Quick Bites,"Andhra, North Indian, South Indian"
Jayanagar,Quick Bites,"South Indian, North Indian"
Koramangala 5th Block,Quick Bites,"North Indian, Chinese, Rolls"
Frazer Town,Quick Bites,"Fast Food, Street Food"
HSR,Dessert Parlor,"Beverages, Bubble Tea, Desserts"
Whitefield,Pub,"North Indian, Continental"
Bellandur,Quick Bites,"North Indian, Rolls"
Malleshwaram,Dessert Parlor,"Desserts, Ice Cream"
JP Nagar,Casual Dining,North Indian
Residency Road,Cafe,"Cafe, Japanese"
Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts, Beverages"
BTM,Quick Bites,North Indian
Banashankari,Quick Bites,"Fast Food, Chinese"
Jeevan Bhima Nagar,Bakery,"Bakery, Desserts"
Vijay Nagar,Quick Bites,Biryani
Ulsoor,Bakery,"Bakery, Fast Food"
HBR Layout,Cafe,"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee"
Old Airport Road,Dessert Parlor,Desserts
Koramangala 5th Block,"Casual Dining, Cafe","Continental, Cafe, Italian, Fast Food, Steak"
Electronic City,Quick Bites,"Chinese, North Indian, Rolls"
BTM,"Takeaway, Delivery","Chinese, Thai, Momos"
MG Road,Quick Bites,South Indian
Domlur,Casual Dining,North Indian
Bannerghatta Road,Food Court,"Chinese, North Indian, Fast Food"
BTM,Quick Bites,"North Indian, Chinese"
BTM,Quick Bites,"North Indian, Chinese"
Brookefield,Quick Bites,Fast Food
Indiranagar,Quick Bites,Biryani
HSR,Cafe,"Cafe, Continental, Pizza, Salad"
BTM,Quick Bites,North Indian
HSR,Delivery,North Indian
Electronic City,Beverage Shop,"Beverages, Sandwich, Fast Food"
Whitefield,Food Court,"South Indian, Chettinad"
Jayanagar,Dessert Parlor,"Ice Cream, Desserts"
Magadi Road,Quick Bites,"South Indian, North Indian, Chinese"
Koramangala 5th Block,Casual Dining,"North Indian, Chinese, Fast Food, Biryani"
Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak"
Old Airport Road,Quick Bites,"Beverages, Fast Food"
Whitefield,Casual Dining,Chinese
Malleshwaram,Quick Bites,"Chinese, North Indian, Street Food"
Ulsoor,Quick Bites,North Indian
Residency Road,"Fine Dining, Bar",Chinese
Ulsoor,Quick Bites,"Beverages, Fast Food"
Koramangala 5th Block,"Casual Dining, Pub","European, Continental"
Koramangala 6th Block,"Lounge, Microbrewery","North Indian, Continental, Chinese"
BTM,Casual Dining,"Bengali, North Indian"
HSR,Quick Bites,"Street Food, North Indian"
Vasanth Nagar,Quick Bites,South Indian
Jayanagar,Quick Bites,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab"
Indiranagar,Quick Bites,"Chinese, Tibetan"
HSR,Dessert Parlor,"Desserts, Beverages"
JP Nagar,Casual Dining,North Indian
Marathahalli,Quick Bites,"Chinese, Oriya, Bengali, North Indian"
Whitefield,Bakery,"Bakery, Desserts"
Rajajinagar,Food Court,"South Indian, Chinese, North Indian"
MG Road,Fine Dining,North Indian
HSR,"Cafe, Bakery","Cafe, Bakery, Fast Food, Desserts"
Koramangala 5th Block,Cafe,"Cafe, European, Continental"
Jayanagar,Dessert Parlor,"Desserts, Mithai"
Banashankari,"Takeaway, Delivery","Street Food, Fast Food"
Jayanagar,Quick Bites,South Indian
Jayanagar,Quick Bites,Biryani
Brigade Road,Quick Bites,"Chinese, Tibetan, Momos"
Bannerghatta Road,"Takeaway, Delivery","Biryani, North Indian"
Koramangala 6th Block,Cafe,"Cafe, Burger, Fast Food, Desserts"
JP Nagar,Quick Bites,South Indian
Bellandur,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
Sarjapur Road,Casual Dining,"Konkan, Mangalorean, Seafood"
MG Road,"Dessert Parlor, Cafe","Desserts, Fast Food, Beverages"
Old Airport Road,"Takeaway, Delivery",North Indian
Shanti Nagar,Quick Bites,"North Indian, Chinese, South Indian"
Kalyan Nagar,"Bakery, Quick Bites","Bakery, Desserts"
Jayanagar,Cafe,"Cafe, Continental, Sandwich, Beverages"
Whitefield,Quick Bites,"North Indian, Chinese"
Marathahalli,Quick Bites,"South Indian, Chinese"
Old Airport Road,Delivery,"Desserts, Bakery"
Residency Road,Casual Dining,"Kerala, Seafood"
Domlur,Quick Bites,South Indian
Richmond Road,Cafe,"BBQ, Continental, Burger, Wraps, Pizza, Cafe"
Church Street,Casual Dining,Continental
Whitefield,Bakery,"Bakery, Desserts"
Brookefield,Dessert Parlor,"Ice Cream, Desserts"
Kalyan Nagar,"Microbrewery, Casual Dining","American, South Indian, Thai, Pizza, Italian"
MG Road,Confectionery,Desserts
BTM,Takeaway,"Biryani, North Indian"
BTM,Quick Bites,"Andhra, Biryani"
Banaswadi,Quick Bites,Fast Food
Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese"
Bommanahalli,Beverage Shop,Juices
Brigade Road,Casual Dining,"South Indian, North Indian"
Bannerghatta Road,Food Court,"Chinese, Asian"
New BEL Road,Quick Bites,Street Food
HSR,"Quick Bites, Beverage Shop","Burger, Beverages, Fast Food"
Banashankari,Quick Bites,"North Indian, Fast Food, Rolls"
Race Course Road,Lounge,Continental
Marathahalli,Cafe,"Cafe, Sandwich, Beverages"
Indiranagar,Bakery,Bakery
HSR,"Takeaway, Delivery","Fast Food, Rolls"
Frazer Town,Dessert Parlor,"Desserts, Ice Cream"
Bannerghatta Road,Casual Dining,"North Indian, Chinese"
Old Airport Road,Lounge,Continental
Hennur,"Bakery, Quick Bites","Bakery, Fast Food"
Koramangala 5th Block,Pub,Finger Food
Koramangala 8th Block,Delivery,"Bakery, Desserts"
Jayanagar,Quick Bites,"Biryani, Kebab"
Brookefield,Bakery,Bakery
Kammanahalli,Casual Dining,North Indian
Hennur,Quick Bites,"South Indian, North Indian, Chinese"
Church Street,Beverage Shop,"Beverages, Ice Cream"
Koramangala 5th Block,Cafe,"Cafe, Desserts, Beverages"
Indiranagar,Casual Dining,"Andhra, Biryani, North Indian"
Bannerghatta Road,Bakery,"Desserts, Bakery"
Bannerghatta Road,Casual Dining,"Biryani, North Indian, Mughlai"
JP Nagar,"Takeaway, Delivery","Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages"
Hennur,Bakery,"Desserts, Bakery"
BTM,"Takeaway, Delivery",Rolls
Koramangala 5th Block,Casual Dining,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos"
Koramangala 5th Block,Quick Bites,"Fast Food, Rolls"
BTM,Quick Bites,North Indian
BTM,Dhaba,North Indian
Malleshwaram,"Casual Dining, Bar","American, Tex-Mex, Burger, BBQ, Mexican"
Marathahalli,"Takeaway, Delivery",North Indian
Old Airport Road,"Bakery, Beverage Shop","Bakery, Beverages, Juices"
Kammanahalli,Quick Bites,"Burger, Fast Food"
BTM,Delivery,"Biryani, Chinese, Mughlai, Fast Food, Kebab"
Indiranagar,Mess,"Biryani, South Indian, North Indian"
Old Airport Road,Quick Bites,"Burger, Fast Food"
BTM,Casual Dining,Andhra
Marathahalli,Cafe,Cafe
Banashankari,Casual Dining,"North Indian, Chinese"
Frazer Town,Quick Bites,"Kebab, Biryani"
Domlur,Delivery,Burger
JP Nagar,Microbrewery,"Continental, American"
JP Nagar,Casual Dining,"Asian, Continental, European"
Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese"
Electronic City,Quick Bites,"North Indian, South Indian, Chinese, Biryani"
Marathahalli,Casual Dining,"South Indian, Kerala, Andhra"
Kalyan Nagar,Casual Dining,"Biryani, Kebab"
HSR,"Takeaway, Delivery","Biryani, Hyderabadi, Charcoal Chicken, North Indian"
BTM,"Takeaway, Delivery","North Indian, Chinese"
Seshadripuram,Pub,Finger Food
Brookefield,Casual Dining,"South Indian, Biryani"
BTM,"Sweet Shop, Quick Bites","Mithai, Street Food, Fast Food"
Majestic,Casual Dining,"South Indian, North Indian"
Malleshwaram,Quick Bites,"Fast Food, Biryani, Rolls"
HSR,Dessert Parlor,"Desserts, Beverages"
Marathahalli,Delivery,"North Indian, Chinese"
Commercial Street,Casual Dining,"Nepalese, Tibetan, Momos"
Koramangala 5th Block,Quick Bites,Seafood
BTM,Quick Bites,North Indian
Indiranagar,Delivery,"Healthy Food, North Indian, Biryani, Continental, Desserts"
Commercial Street,Quick Bites,"Mithai, Fast Food"
HSR,Quick Bites,"Burger, Fast Food"
BTM,"Takeaway, Delivery","Bengali, North Indian"
Yeshwantpur,Quick Bites,"Chinese, North Indian, South Indian"
Koramangala 8th Block,Beverage Shop,Juices
Marathahalli,Beverage Shop,"Beverages, Desserts"
JP Nagar,Bakery,"Bakery, Desserts"
JP Nagar,Casual Dining,"Pizza, Salad"
HSR,Casual Dining,"Asian, Beverages"
HSR,Bakery,"Bakery, Desserts"
Indiranagar,Quick Bites,"Street Food, American"
JP Nagar,Quick Bites,"Biryani, South Indian, Kebab"
JP Nagar,Casual Dining,"Andhra, North Indian"
Koramangala 7th Block,Cafe,"Cafe, Beverages, Healthy Food, Juices"
Marathahalli,Casual Dining,"Andhra, South Indian, Fast Food"
Whitefield,Casual Dining,"Continental, North Indian, Chinese, Arabian"
Koramangala 7th Block,Dessert Parlor,Desserts
Bellandur,"Beverage Shop, Cafe","Tea, Fast Food, Cafe"
Koramangala 5th Block,"Pub, Casual Dining","Finger Food, Continental, North Indian"
HSR,Bakery,"Bakery, Desserts"
Whitefield,Quick Bites,Fast Food
BTM,Quick Bites,"Bengali, North Indian, Chinese"
Sankey Road,Fine Dining,South Indian
MG Road,Fine Dining,"European, Mediterranean, North Indian"
Sankey Road,Fine Dining,"North Indian, Continental, Asian"
Brigade Road,Casual Dining,"North Indian, Chinese, Seafood"
RT Nagar,"Quick Bites, Beverage Shop","Tea, Fast Food"
Koramangala 7th Block,Quick Bites,North Indian
JP Nagar,Casual Dining,"Andhra, North Indian"
Koramangala 1st Block,Dessert Parlor,"Ice Cream, Beverages"
Jayanagar,Casual Dining,"Chinese, Seafood, Biryani"
Bannerghatta Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Beverages"
JP Nagar,Delivery,North Indian
Kaggadasapura,Casual Dining,"Chettinad, South Indian, Chinese, Seafood, Rolls, North Indian"
Jeevan Bhima Nagar,Quick Bites,"Chinese, North Indian, Rolls"
Koramangala 1st Block,Quick Bites,"North Indian, Chinese, Biryani"
Sarjapur Road,Quick Bites,"North Indian, Chinese"
JP Nagar,Casual Dining,"South Indian, North Indian, Chinese, Biryani"
Banaswadi,"Casual Dining, Cafe","North Indian, Cafe, Chinese"
Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian"
Kalyan Nagar,"Microbrewery, Casual Dining",European
BTM,"Beverage Shop, Quick Bites","Beverages, Fast Food"
Indiranagar,"Bar, Casual Dining","American, Finger Food"
Koramangala 5th Block,Casual Dining,"Continental, Asian, American, North Indian, Desserts"
Bannerghatta Road,Quick Bites,"North Indian, Chinese"
Residency Road,Casual Dining,"Andhra, Biryani"
Sarjapur Road,Delivery,North Indian
Basavanagudi,Kiosk,"Beverages, Desserts"
Bellandur,Casual Dining,"North Indian, Mughlai, Mediterranean, Iranian"
Seshadripuram,Casual Dining,"North Indian, Asian, Continental"
Koramangala 5th Block,"Dessert Parlor, Quick Bites",Desserts
BTM,Casual Dining,North Indian
Sarjapur Road,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food"
HBR Layout,Quick Bites,"North Indian, Chinese"
Bannerghatta Road,Casual Dining,"Chinese, Seafood, North Indian"
Koramangala 1st Block,Quick Bites,"North Indian, Fast Food"
Sarjapur Road,Casual Dining,"Continental, North Indian, Chinese, Pizza"
Infantry Road,Casual Dining,"North Indian, Mughlai"
Koramangala 5th Block,Casual Dining,"Kerala, North Indian, Chinese"
Kalyan Nagar,Bar,"Finger Food, Italian, Continental"
Banaswadi,Quick Bites,Biryani
Kammanahalli,Casual Dining,Korean
Old Airport Road,Cafe,"Cafe, Fast Food"
Seshadripuram,Lounge,"Continental, Chinese"
BTM,Quick Bites,"North Indian, Chinese"
Thippasandra,Casual Dining,"North Indian, Chinese, Seafood, Mangalorean"
HSR,Quick Bites,"Fast Food, Sandwich, Burger"
Whitefield,Takeaway,Desserts
BTM,Casual Dining,"Andhra, North Indian, Biryani"
Koramangala 6th Block,Dessert Parlor,"Desserts, Fast Food"
Indiranagar,Casual Dining,"North Indian, Modern Indian"
Whitefield,Casual Dining,Mediterranean
Banashankari,Quick Bites,South Indian
Banaswadi,Quick Bites,"Mithai, Street Food"
BTM,Casual Dining,"North Indian, Biryani, Chinese"
Whitefield,Dessert Parlor,"Ice Cream, Desserts"
Basaveshwara Nagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian"
Koramangala 7th Block,Quick Bites,"Chinese, Fast Food"
Marathahalli,"Casual Dining, Bar","Andhra, South Indian, Chinese, North Indian"
Whitefield,"Bar, Casual Dining","Continental, North Indian, Italian"
Frazer Town,"Bakery, Quick Bites","Bakery, Fast Food"
New BEL Road,"Sweet Shop, Quick Bites","Mithai, Street Food"
JP Nagar,Casual Dining,"Biryani, North Indian, Kebab"
Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza"
Basavanagudi,Quick Bites,"Biryani, Kebab, Chinese"
BTM,Casual Dining,"Arabian, North Indian, Chinese, Fast Food"
Bommanahalli,Quick Bites,"Andhra, North Indian"
Richmond Road,Fine Dining,"European, Continental, Chinese, Thai"
Banashankari,Quick Bites,Andhra
Whitefield,Quick Bites,"South Indian, North Indian, Chinese"
St. Marks Road,Casual Dining,"South Indian, North Indian, Chinese, Beverages"
Jayanagar,Cafe,Cafe
Koramangala 5th Block,Dessert Parlor,Desserts
New BEL Road,Casual Dining,"North Indian, Chinese, Seafood"
Whitefield,Quick Bites,"North Indian, Street Food"
Bellandur,"Takeaway, Delivery",South Indian
Sarjapur Road,Bakery,"Bakery, Desserts"
Koramangala 5th Block,"Cafe, Casual Dining","Chinese, American, Continental, Italian, North Indian"
Jayanagar,Cafe,Cafe
Basavanagudi,Casual Dining,"South Indian, North Indian, Chinese, Street Food"
Jayanagar,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream"
JP Nagar,Quick Bites,"South Indian, North Indian"
BTM,Quick Bites,"Kerala, Chinese"
JP Nagar,"Pub, Casual Dining","Finger Food, Continental, North Indian, Chinese"
Whitefield,Quick Bites,"North Indian, Chinese"
JP Nagar,Casual Dining,"Continental, American"
Jayanagar,Cafe,"Cafe, Beverages, Fast Food"
New BEL Road,Quick Bites,"North Indian, Fast Food"
BTM,Quick Bites,"South Indian, North Indian, Chinese"
Bellandur,"Sweet Shop, Quick Bites","Mithai, Street Food, Fast Food"
Marathahalli,Quick Bites,"North Indian, Juices"
Koramangala 7th Block,"Cafe, Dessert Parlor","Cafe, Desserts, Continental"
Bannerghatta Road,Casual Dining,"Biryani, North Indian, Chinese"
Banaswadi,Dessert Parlor,"Ice Cream, Desserts"
Bellandur,Food Court,"Mexican, Tex-Mex"
Kalyan Nagar,"Pub, Casual Dining","Continental, North Indian, Chinese, Italian"
Sarjapur Road,"Quick Bites, Sweet Shop","Street Food, Fast Food, Mithai"
New BEL Road,Quick Bites,"Chinese, Momos"
